Source,Dest,Range
Honolulu,Starlunk-21-15,1867.46987808192
Honolulu,Starlunk-21-16,1959.72070327412
Honolulu,Starlunk-22-15,1365.92203974943
Honolulu,Starlunk-22-16,1882.25506831209
Honolulu,Starlunk-23-15,907.441363073668
Honolulu,Starlunk-23-16,1967.37932515853
Honolulu,Starlunk-24-15,607.039251048805
Honolulu,Starlunk-25-14,1812.0546146189
Honolulu,Starlunk-25-15,710.173191365733
Honolulu,Starlunk-26-14,1579.29184165552
Honolulu,Starlunk-26-15,1109.03735753409
Honolulu,Starlunk-27-14,1492.93105646409
Honolulu,Starlunk-27-15,1593.68376975488
Honolulu,Starlunk-28-14,1577.8474017756
Honolulu,Starlunk-29-14,1809.54580967786
Honolulu,Starlunk-53-8,640.143477267948
Honolulu,Starlunk-54-7,1873.57433900724
Honolulu,Starlunk-54-8,654.832108319322
Honolulu,Starlunk-55-7,1640.72853871634
Honolulu,Starlunk-55-8,1013.6138000856
Honolulu,Starlunk-56-7,1579.10750296266
Honolulu,Starlunk-56-8,1483.59409585231
Honolulu,Starlunk-57-7,1707.79446226733
Honolulu,Starlunk-57-8,1985.14193673117
Honolulu,Starlunk-58-7,1989.40072686923
