Source,Dest,Range
Starlunk-30-13,Starlunk-62-5,1112.67910099661
Starlunk-30-13,Starlunk-62-6,1697.15265130369
Starlunk-30-13,Starlunk-63-5,1370.11476857795
Starlunk-30-13,Starlunk-64-5,1787.84975181093
Starlunk-30-14,Starlunk-26-15,1742.99788161465
Starlunk-30-14,Starlunk-27-14,1517.79123572711
Starlunk-30-14,Starlunk-27-15,1611.07745132798
Starlunk-30-14,Starlunk-28-14,1013.46879301185
Starlunk-30-14,Starlunk-28-15,1652.55767061166
Starlunk-30-14,Starlunk-29-14,507.217154847149
Starlunk-30-14,Starlunk-29-15,1855.57005297151
Starlunk-30-14,Starlunk-31-13,1836.1493376468
Starlunk-30-14,Starlunk-31-14,507.217154847293
Starlunk-30-14,Starlunk-32-13,1563.10271523008
Starlunk-30-14,Starlunk-32-14,1013.468793012
Starlunk-30-14,Starlunk-33-13,1396.25469330699
Starlunk-30-14,Starlunk-33-14,1517.79123572725
Starlunk-30-14,Starlunk-34-13,1376.19527496794
Starlunk-30-14,Starlunk-35-13,1508.93079736659
Starlunk-30-14,Starlunk-36-13,1759.40011671729
Starlunk-30-14,Starlunk-54-8,1830.51009598138
Starlunk-30-14,Starlunk-55-8,1497.3120248745
Starlunk-30-14,Starlunk-56-8,1302.30060438617
Starlunk-30-14,Starlunk-57-8,1310.36367573049
Starlunk-30-14,Starlunk-58-8,1518.21647651875
Starlunk-30-14,Starlunk-59-8,1858.84299914356
Starlunk-30-14,Starlunk-27-14,1807.55369043195
Starlunk-30-14,Starlunk-27-15,1802.10140120301
Starlunk-30-14,Starlunk-28-14,1206.95074119891
Starlunk-30-14,Starlunk-28-15,1737.67141142576
Starlunk-30-14,Starlunk-29-14,604.05029263151
Starlunk-30-14,Starlunk-29-15,1874.21893273572
Starlunk-30-14,Starlunk-31-13,1871.01121131004
Starlunk-30-14,Starlunk-31-14,604.050292631509
Starlunk-30-14,Starlunk-32-13,1721.86290076185
Starlunk-30-14,Starlunk-32-14,1206.9507411989
Starlunk-30-14,Starlunk-33-13,1766.9314728408
Starlunk-30-14,Starlunk-33-14,1807.55369043194
Starlunk-30-14,Starlunk-34-13,1992.78479565421
Starlunk-30-14,Starlunk-61-5,1816.11115850529
Starlunk-30-14,Starlunk-62-5,1273.31318321985
Starlunk-30-14,Starlunk-63-5,810.267976374144
Starlunk-30-14,Starlunk-64-4,1645.99961647373
Starlunk-30-14,Starlunk-64-5,641.268730486611
Starlunk-30-14,Starlunk-65-4,1265.03606052673
